iter	Passed	Remaining
837	12066	2332
838	12079	2318
839	12091	2303
840	12104	2288
841	12117	2273
842	12129	2259
843	12142	2244
844	12155	2229
845	12167	2214
846	12179	2200
847	12194	2185
848	12206	2171
849	12219	2156
850	12232	2141
851	12244	2126
852	12258	2112
853	12272	2098
854	12284	2083
855	12296	2068
856	12308	2053
857	12320	2039
858	12333	2024
859	12346	2009
860	12358	1995
861	12370	1980
862	12382	1965
863	12394	1951
864	12408	1936
865	12420	1921
866	12432	1907
867	12445	1892
868	12458	1878
869	12471	1863
870	12484	1849
871	12498	1834
872	12511	1820
873	12524	1805
874	12536	1790
875	12549	1776
876	12560	1761
877	12573	1747
878	12587	1732
879	12600	1718
880	12612	1703
881	12626	1689
882	12638	1674
883	12650	1660
884	12662	1645
885	12674	1630
886	12687	1616
887	12700	1601
888	12711	1587
889	12724	1572
890	12736	1558
891	12748	1543
892	12761	1529
893	12773	1514
894	12785	1499
895	12797	1485
896	12811	1471
897	12825	1456
898	12841	1442
899	12855	1428
900	12871	1414
901	12885	1400
902	12900	1385
903	12915	1371
904	12930	1357
905	12942	1342
906	12955	1328
907	12972	1314
908	12985	1299
909	12997	1285
910	13009	1270
911	13021	1256
912	13034	1242
913	13046	1227
914	13059	1213
915	13071	1198
916	13087	1184
917	13105	1170
918	13121	1156
919	13139	1142
920	13154	1128
921	13168	1114
922	13183	1099
923	13198	1085
924	13213	1071
925	13225	1056
926	13239	1042
927	13252	1028
928	13265	1013
929	13278	999
930	13290	984
931	13302	970
932	13315	956
933	13327	941
934	13340	927
935	13355	913
936	13367	898
937	13378	884
938	13391	869
939	13404	855
940	13418	841
941	13431	826
942	13443	812
943	13456	798
944	13469	783
945	13481	769
946	13494	755
947	13506	740
948	13518	726
949	13531	712
950	13544	697
951	13556	683
952	13570	669
953	13583	654
954	13596	640
955	13609	626
956	13622	612
957	13635	597
958	13647	583
959	13660	569
960	13672	554
961	13688	540
962	13701	526
963	13714	512
964	13727	497
965	13739	483
966	13753	469
967	13766	455
968	13778	440
969	13790	426
970	13803	412
971	13814	397
972	13826	383
973	13839	369
974	13851	355
975	13863	340
976	13876	326
977	13888	312
978	13908	298
979	13921	284
980	13934	269
981	13947	255
982	13960	241
983	13971	227
984	13988	213
985	14001	198
986	14014	184
987	14026	170
988	14039	156
989	14051	141
990	14064	127
991	14077	113
992	14091	99
993	14106	85
994	14120	70
995	14135	56
996	14149	42
997	14162	28
998	14175	14
999	14187	0
